group_id,workflow_ids,group_size,num_tasks,pcea_inference_time_s,aer_time_s,total_time_s,runtime_per_task_s,runtime_per_group_s,runtime_per_migration_s,migration_count,candidates_evaluated,passes_done,constraint_guard_count,pcea_energy,aer_energy,energy_delta,pcea_idle_energy,aer_idle_energy,idle_energy_delta,pcea_makespan,aer_makespan,makespan_delta,pcea_deadline_miss_rate,aer_deadline_miss_rate,deadline_delta,pcea_peak_active_power,aer_peak_active_power,pcea_power_envelope_violation,aer_power_envelope_violation,pcea_server_activated_count,aer_server_activated_count,pcea_active_server_utilization,aer_active_server_utilization
group_011,"job_4833,job_4835,job_4838,job_4840,job_4842",5,35,0.7800702999993518,63.93074350000097,64.71081380000032,1.8488803942857235,64.71081380000032,15.982685875000243,4.0,108.0,1.0,0.0,450633.4071284023,425784.99868910963,-24848.40843929269,270970.01246837346,253040.49721160711,-17929.515256766346,99.67462133883267,89.73067277007344,-9.943948568759225,0.0,0.0,0.0,7248.004958333334,8772.732250000001,0.0,0.002002504408280291,6,6,0.7080410598041725,0.8653410000621088
group_012,"job_4844,job_4846,job_4848,job_4852,job_4856",5,35,0.9102566000001389,69.99393010000131,70.90418670000145,2.025833905714327,70.90418670000145,17.498482525000327,4.0,107.0,1.0,0.0,426368.0944516515,422201.98717107606,-4166.1072805754375,226111.16089823542,226111.16089823545,2.9103830456733704e-11,114.19755600920982,114.19755600920982,0.0,0.0,0.0,0.0,7094.956,7094.956,0.0,0.0,4,4,0.7372853735463212,0.8407114980771725
group_013,"job_4859,job_4861,job_4863,job_4865,job_4867",5,34,0.946845200000098,63.35781589999897,64.30466109999907,1.8913135617646784,64.30466109999907,15.839453974999742,4.0,104.0,1.0,0.0,402007.5406867649,385142.9256689525,-16864.615017812408,193751.68280914467,177280.48888130035,-16471.193927844317,85.30625238959423,74.48760037029427,-10.818652019299961,0.0,0.0,0.0,8219.339570936112,8240.200527544444,0.00010875401364858444,0.0016927955713211596,5,5,0.7834621380992977,0.8765981392140348
group_014,"job_4880,job_4882,job_4884,job_4886,job_4888",5,35,1.1077408000019204,77.94811579999805,79.05585659999997,2.258738759999999,79.05585659999997,7.086192345454368,11.0,109.0,1.0,0.0,472161.46940063516,413754.7638164147,-58406.70558422047,298349.88392320555,249930.26138016733,-48419.62254303822,95.74820533410502,89.26080763577403,-6.4873976983309944,0.0,0.0,0.0,10117.138638422222,9256.574513655556,0.0008058530128523848,0.0029091825708132354,7,6,0.5365198455578482,0.8358501432501583
group_015,"job_4891,job_4895,job_4898,job_4900,job_4903",5,35,0.9862901999986207,70.9355542000012,71.92184439999983,2.054909839999995,71.92184439999983,17.7338885500003,4.0,108.0,1.0,0.0,341929.5821571948,340707.661546832,-1221.9206103627803,158042.2966693593,158042.29666935932,2.9103830456733704e-11,79.81934175220168,79.81934175220168,0.0,0.0,0.0,0.0,7094.956,7106.481486111112,0.0,0.0,4,4,0.9260424586530924,1.0233156468119546
group_016,"job_4905,job_4909,job_4912,job_4919,job_4921",5,37,0.9865848000008555,79.74801479999951,80.73459960000037,2.1820162054054153,80.73459960000037,79.74801479999951,1.0,114.0,1.0,0.0,379741.7282657206,379168.1371412421,-573.5911244784947,206602.08377647834,206602.08377647834,0.0,104.34448675579716,104.34448675579716,0.0,0.0,0.0,0.0,7094.956,7118.714263888889,0.0,0.0,4,4,0.7942430069628915,0.8279047108688705
group_017,"job_4927,job_4929,job_4932,job_4935,job_4937",5,45,1.0666545999993104,337.81347240000105,338.88012700000036,7.530669488888897,338.88012700000036,48.25906748571443,7.0,139.0,1.0,0.0,450775.7380971472,433073.0498755287,-17702.688221618475,267999.5259519979,258600.13090377874,-9399.395048219158,113.33275621926282,107.75005454324112,-5.582701676021699,0.0,0.0,0.0,7113.0896111111115,7967.133098958333,0.0,0.00020401611693747623,5,5,0.754803430689683,0.9269422890136166
group_018,"job_4941,job_4945,job_4947,job_4949,job_4952",5,42,1.2449517999993986,114.54579830000148,115.79075010000088,2.7569226214285925,115.79075010000088,11.454579830000148,10.0,130.0,1.0,0.0,468625.70132661005,463799.21308095765,-4826.4882456524065,235280.95734968182,244877.81206057617,9596.854710894346,103.13481197071278,103.13481197071278,0.0,0.0,0.0,0.0,7562.252392984723,8219.339570936112,1.0052361550131041e-06,0.0008948447929642917,5,5,0.5951835473178658,0.8242466366965103
group_019,"job_4954,job_4960,job_4962,job_4964,job_4968",5,37,0.9444341999987955,68.4332265999983,69.3776607999971,1.8750719135134353,69.3776607999971,9.776175228571187,7.0,114.0,1.0,0.0,721629.5658254758,675411.1552400684,-46218.4105854074,506370.4610957172,464367.9127613161,-42002.5483344011,214.47107227335835,195.11256838710761,-19.35850388625073,0.0,0.0,0.0,7838.892554493924,8272.533860877778,1.0202294920761642e-05,0.0005960591330975879,5,5,0.4029233900181718,0.4845874199225113
group_020,"job_4971,job_4973,job_4976,job_4982,job_4987",5,37,0.9721505000015895,77.18553350000002,78.15768400000161,2.1123698378378815,78.15768400000161,12.864255583333337,6.0,114.0,1.0,0.0,480140.38216884114,478727.9065667613,-1412.4756020798231,248121.99846491788,254929.48389049718,6807.485425579303,108.94422388482788,108.94422388482788,0.0,0.0,0.0,0.0,7463.276715033335,7561.672041666667,1.3909777813195956e-07,3.8377923314359724e-05,5,5,0.6917983308092659,0.7762678484041836
group_021,"job_4991,job_506,job_6159,job_6262,job_674",5,35,0.45083119999981136,43.313801299998886,43.7646324999987,1.2504180714285342,43.7646324999987,14.437933766666296,3.0,108.0,1.0,0.0,1108593.7056537226,1023368.2767572744,-85225.42889644823,769784.6681990052,693282.5446355175,-76502.12356348766,407.16045632755277,407.16045632755277,0.0,0.0,0.0,0.0,6517.502277777778,4905.6123472222225,0.0,0.0,4,4,0.5003590236357306,0.6185227859893923
group_022,"job_678,job_680,job_683,job_6837,job_6842",5,28,0.30716019999817945,18.750350100002834,19.057510300001013,0.6806253678571791,19.057510300001013,1.7045772818184395,11.0,85.0,1.0,0.0,994268.3704726315,962039.8634492725,-32228.507023359067,538513.8386798579,539872.3502251566,1358.5115452987375,225.11518398636773,225.11518398636773,0.0,0.0,0.0,0.0,7770.0963072916675,6526.641168402778,0.00017374962677612298,0.0,5,5,0.5071644729651378,0.7384438419770137
group_023,"job_9021,job_9025,job_9028,job_9031,job_9034",5,57,1.6272503999971377,263.96366320000016,265.5909135999973,4.659489712280655,265.5909135999973,65.99091580000004,4.0,175.0,1.0,0.0,449268.2329852126,448887.7584071953,-380.4745780173107,266446.9780843533,266423.2180843533,-23.760000000009313,115.52168206392051,115.50968206392051,-0.012000000000000455,0.0,0.0,0.0,7240.923570936111,6862.892142984722,0.0,0.0,5,5,0.6210357704341298,0.6422988775672167
group_024,"job_9038,job_9042,job_9045,job_9048,job_9051",5,58,3.369573299998592,456.43316120000236,459.80273450000095,7.927633353448292,459.80273450000095,456.43316120000236,1.0,178.0,1.0,0.0,695535.9459613761,695528.0186620806,-7.92729929543566,487752.1270498329,487752.1270498329,0.0,207.9057216247885,207.9057216247885,0.0,0.0,0.0,0.0,7240.923570936111,7278.174265380555,0.0,0.0,5,5,0.41070869908790514,0.41070869908790514
group_025,"job_9054,job_9057,job_9061,job_9065,job_9068",5,49,2.007560600002762,289.11156579999806,291.1191264000008,5.9412066612245065,291.1191264000008,144.55578289999903,2.0,151.0,1.0,0.0,117006.21681079213,117002.88150457347,-3.3353062186652096,43146.31349211413,43146.31349211413,0.0,22.319058123384885,22.319058123384885,0.0,0.0,0.0,0.0,6935.642142984722,6921.3817957625,0.0,0.0,4,4,1.473080564952305,1.473080564952305
group_026,"job_9071,job_9074,job_9080,job_9090,job_9118",5,46,1.564185000002908,213.43859299999895,215.00277800000185,4.673973434782649,215.00277800000185,71.14619766666631,3.0,142.0,1.0,0.0,206458.31131442977,204794.15632866055,-1664.1549857692153,114375.73560473401,113713.25560473402,-662.4799999999959,51.339095988008594,51.001095988008586,-0.33800000000000807,0.0,0.0,0.0,7289.854682047222,7289.854682047222,0.0,0.0,5,5,0.7497412504492962,0.776822582954903
